Industry,Job_Title,Annual_Salary,Extra_Compensation,Country,City,Overall_Experience,Field_Experience,Highest_Education,Gender,Race
Health care,Clinical Supervisor,70322,0,USA,Gainesville ,11 - 20 years,8 - 10 years,Master's degree,Woman,White
Nonprofits,Communications Manager,50788,0,USA,DC,8 - 10 years,8 - 10 years,Master's degree,Woman,White
Nonprofits,Director of Donor Relations ,71885,0,USA,Los Angeles ,11 - 20 years,8 - 10 years,Master's degree,Woman,White
Engineering or Manufacturing,Environmental Planner,60555,0,USA,Seattle,5-7 years,5-7 years,College degree,Woman,White
"Accounting, Banking & Finance",VP-Marketing Director,58602,0,USA,Nashville,21 - 30 years,21 - 30 years,College degree,Woman,White
Government and Public Administration,Business Office Coordinator,32035,0,USA,Baton Rouge,2 - 4 years,2 - 4 years,College degree,Woman,White
Education (Higher Education),Project coordinator,39927,0,USA,Pittsburgh,11 - 20 years,2 - 4 years,Master's degree,Woman,White
Business or Consulting,Senior Director ,154319,39068,USA,Cincinnati,21 - 30 years,21 - 30 years,College degree,Woman,White
"Marketing, Advertising & PR",Associate Brand Director,125018,23440,USA,SF Bay Area,8 - 10 years,5-7 years,Master's degree,Woman,White
Nonprofits,Educational Curriculum Coordinator,61727,0,USA,Columbus,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Insurance,Product Manager,109390,0,USA,Dallas,21 - 30 years,21 - 30 years,College degree,Woman,White
"Marketing, Advertising & PR",Senior Project Manager,54929,3750,USA,Des Moines,21 - 30 years,5-7 years,College degree,Woman,White
Utilities & Telecommunications,Senior Data Scientist,140645,21096,USA,Denver,21 - 30 years,11 - 20 years,PhD,Woman,White
"Marketing, Advertising & PR",Assistant Vice President ,99233,3906,USA,Boston ,11 - 20 years,8 - 10 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin"
Government and Public Administration,Director ,58602,0,USA,Phx ,5-7 years,5-7 years,Master's degree,Woman,Asian or Asian American
Agriculture or Forestry,Aquarist,26957,468,USA,Omaha,5-7 years,2 - 4 years,College degree,Man,White
"Marketing, Advertising & PR",Marketing Manager,125799,7813,USA,San Francisco ,8 - 10 years,8 - 10 years,College degree,Woman,Asian or Asian American
Computing or Tech,Senior Product Owner,98842,11720,USA,Chicago,5-7 years,5-7 years,College degree,Woman,White
Computing or Tech,Senior Data Scientist,105484,0,USA,New York City,2 - 4 years,1 year or less,Master's degree,Woman,White
Computing or Tech,Software,105931,0,Germany,Berlin,21 - 30 years,21 - 30 years,College degree,Man,White
Health care,Clinical Lab Assistant II,40630,3906,USA,Washington,2 - 4 years,1 year or less,College degree,Man,Asian or Asian American
Property or Construction,Inside quotations,35161,1953,USA,Nashville ,11 - 20 years,2 - 4 years,Some college,Woman,White
Law,Legal Assistant,25204,0,Uganda,Toronto,8 - 10 years,2 - 4 years,College degree,Woman,White
Business or Consulting,Sr. Director,171899,156272,USA,TBD,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Man,White
Computing or Tech,Technology Manager,117204,24222,USA,Cleveland,11 - 20 years,11 - 20 years,College degree,Man,White
Computing or Tech,Senior Product Specialist,78136,0,USA,San Francisco,2 - 4 years,2 - 4 years,College degree,Man,White
Law,Print and Mail Clerk,28805,180,Uganda,"Calgary, AB",8 - 10 years,8 - 10 years,Some college,Man,White
Nonprofits,Director of Operations,66959,0,USA,Madison,31 - 40 years,31 - 40 years,"Professional degree (MD, JD, etc.)",Woman,White
Insurance,Systems Engineer II,85168,9376,USA,Chattanooga,21 - 30 years,21 - 30 years,High School,Man,White
Recruitment or HR,Leadership Development Consultant,70322,3906,USA,Charlotte,8 - 10 years,2 - 4 years,Master's degree,Woman,White
Nonprofits,Senior Editor,50788,3672,USA,New York City,8 - 10 years,8 - 10 years,College degree,Woman,White
Media & Digital,User Experience Designer Apprentice,22220,0,UK,Manchester,2 - 4 years,1 year or less,Some college,Woman,Black or African American
Engineering or Manufacturing,Qualifications Engineer,40477,86,Germany,Kassel,5-7 years,2 - 4 years,PhD,Non-binary,White
Hospitality & Events,Sales Analyst,58602,0,USA,Nashville,11 - 20 years,2 - 4 years,Some college,Woman,White
Education (Higher Education),Associate Professor,49907,0,South Africa,Stellenbosch,11 - 20 years,11 - 20 years,PhD,Man,White
Nonprofits,Advertising and Events Manager,61571,0,USA,Seattle,11 - 20 years,11 - 20 years,Some college,Woman,White
Transport or Logistics,Marketing Manager,70322,7032,USA,Green Bay,11 - 20 years,11 - 20 years,College degree,Woman,White
Computing or Tech,Software Developer,62509,0,USA,Dallas,2 - 4 years,1 year or less,College degree,Woman,"Hispanic, Latino, or Spanish origin"
Education (Primary/Secondary),"Specialist, HR Systems and Projects",54695,0,USA,Plano,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Media & Digital,Communications Specialist,54695,0,USA,Twin Cities Metro,5-7 years,5-7 years,Master's degree,Woman,White
Art & Design,senior graphic designer,66415,0,USA,New York City,5-7 years,2 - 4 years,College degree,Woman,Asian or Asian American
Computing or Tech,Software Engineer,132831,0,USA,New York City,2 - 4 years,2 - 4 years,College degree,Man,White
Media & Digital,Associate Editor,54695,0,USA,New York,5-7 years,5-7 years,College degree,Woman,White
Computing or Tech,Software Quality Assurance Manager,85949,5078,USA,Madison,8 - 10 years,8 - 10 years,Master's degree,Woman,White
Computing or Tech,Software developer,113297,1562,USA,Verona,11 - 20 years,11 - 20 years,College degree,Man,White
Utilities & Telecommunications,Customer Service Manager,54695,3906,USA,Juneau,11 - 20 years,11 - 20 years,College degree,Woman,White
Government and Public Administration,Secretary,27800,0,USA,Binghamton,31 - 40 years,31 - 40 years,Some college,Woman,White
"Marketing, Advertising & PR",Director of digital strategy,78136,0,USA,Washington,11 - 20 years,11 - 20 years,College degree,Woman,White
Engineering or Manufacturing,Optical Engineer II,87512,58602,USA,Los Angeles,1 year or less,1 year or less,PhD,Woman,White
Transport or Logistics,manager,50007,0,USA,louisville,31 - 40 years,21 - 30 years,Some college,Man,White
"Marketing, Advertising & PR",Marketing Strategy Manager,47663,3125,USA,"Needham, MA",11 - 20 years,5-7 years,Some college,Woman,White
Computing or Tech,Software Developer,136738,0,USA,Madison,8 - 10 years,8 - 10 years,College degree,Man,White
Computing or Tech,Senior Software Engineering Manager,117204,17580,USA,Oklahoma City,21 - 30 years,11 - 20 years,Master's degree,Woman,White
Nonprofits,Data and Quality Assurance Manager,37114,0,USA,Chicago,2 - 4 years,2 - 4 years,College degree,Woman,White
Property or Construction,Executive Assistant,35161,0,USA,Scottsdale,5-7 years,5-7 years,High School,Woman,White
Engineering or Manufacturing,Product development engineer,82043,7813,USA,Redmond,2 - 4 years,2 - 4 years,Master's degree,Woman,White
Education (Higher Education),Communication Specialist,64540,0,USA,Ann Arbor,31 - 40 years,11 - 20 years,College degree,Woman,White
Computing or Tech,Software Engineer 2,100014,10001,USA,Seattle,2 - 4 years,2 - 4 years,College degree,Non-binary,White
"Marketing, Advertising & PR",Senior Digital Consultant ,50000,0,UK,London,5-7 years,5-7 years,College degree,Woman,White
Computing or Tech,Machine Learning Engineer,103139,7813,USA,Cambridge,2 - 4 years,2 - 4 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
"Marketing, Advertising & PR",Dir of Marketing,128924,23440,USA,Boston,21 - 30 years,11 - 20 years,College degree,Man,White
Health care,Administrative Associate ,42974,0,USA,Minneapolis,11 - 20 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
Nonprofits,Director of development operations,41194,0,Israel,Jerusalem,11 - 20 years,8 - 10 years,College degree,Woman,White
"Marketing, Advertising & PR",Marketing Strategy Manager,47663,3125,USA,"Needham, MA",11 - 20 years,5-7 years,Some college,Woman,White
Health care,Quality Manager,54304,0,USA,Verona,5-7 years,5-7 years,College degree,Woman,White
Transport or Logistics,Director of BDC & CRM,78136,0,USA,Los Angeles,11 - 20 years,5-7 years,College degree,Woman,White
Law,Corporate PAralegal,37807,0,Uganda,Vancouver,8 - 10 years,8 - 10 years,Some college,Woman,White
"Marketing, Advertising & PR",Marketing Strategy Manager,47663,3125,USA,"Needham, MA",11 - 20 years,5-7 years,Some college,Woman,White
Education (Higher Education),Academic Librarian,50409,0,Uganda,Toronto,8 - 10 years,5-7 years,Master's degree,Woman,White
Education (Higher Education),Associate Consultant,82043,14064,USA,Minneapolis,11 - 20 years,11 - 20 years,College degree,Woman,White
Engineering or Manufacturing,Software engineer,48228,861,Netherlands,Amsterdam ,2 - 4 years,2 - 4 years,Master's degree,Woman,Asian or Asian American
Computing or Tech,Principal Software Developer,179713,0,USA,Seattle,21 - 30 years,21 - 30 years,College degree,Man,White
Computing or Tech,Senior Software Engineer,105484,0,USA,Novato,21 - 30 years,21 - 30 years,Master's degree,Man,White
Education (Higher Education),Program Manager,49616,0,USA,Austin,5-7 years,1 year or less,PhD,Woman,White
Education (Higher Education),PhD Fellow/Assistant Lecturer,23440,3906,USA,Los Angeles,8 - 10 years,5-7 years,Master's degree,Non-binary,White
Retail,Fast Food Restaurant General Manager,29691,4688,USA,Des Moines,2 - 4 years,2 - 4 years,Some college,Woman,White
Media & Digital,News producer,71885,15627,USA,Washington DC,5-7 years,5-7 years,Some college,Man,"Hispanic, Latino, or Spanish origin"
"Accounting, Banking & Finance",Staff accountant,41412,1562,USA,Atlanta,2 - 4 years,2 - 4 years,College degree,Man,White
Computing or Tech,Instructional Designer II,85949,3906,USA,McLean,11 - 20 years,5-7 years,Master's degree,Woman,Asian or Asian American
Insurance,Senior Data Analyst,82043,1562,USA,Worcester,21 - 30 years,8 - 10 years,College degree,Woman,White
Nonprofits,Development Manager,33606,0,Uganda,Toronto,5-7 years,5-7 years,College degree,Woman,White
"Accounting, Banking & Finance",Resource advisor/officer,31000,0,UK,Manchester,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
Nonprofits,Senior Manager,89856,0,USA,Medford,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Computing or Tech,System Analyst,78136,3906,USA,Austin,21 - 30 years,11 - 20 years,College degree,Woman,White
"Marketing, Advertising & PR",Social Media Manager,117204,0,USA,DC,8 - 10 years,8 - 10 years,Master's degree,Woman,White
Education (Primary/Secondary),Chief of Staff,156272,0,USA,San Diego,11 - 20 years,11 - 20 years,Master's degree,Woman,Black or African American
Health care,Project Coordinator,52351,1172,USA,Portland,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
Law,Deputy General Counsel,101577,0,USA,Harrisburg,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
Education (Higher Education),professional faculty,48444,0,USA,Gloucester,8 - 10 years,8 - 10 years,Master's degree,Woman,White
Engineering or Manufacturing,Engineer,42000,0,UK,Glasgow,11 - 20 years,11 - 20 years,High School,Man,White
Transport or Logistics,Planning Manager ,74307,7430,USA,Chicago ,8 - 10 years,5-7 years,College degree,Woman,White
Nonprofits,Minister of music and worship,32426,390,USA,Durham,2 - 4 years,2 - 4 years,Master's degree,Woman,White
Education (Higher Education),Admissions Coordinator,31254,0,USA,New Orleans,11 - 20 years,2 - 4 years,Some college,Woman,White
"Accounting, Banking & Finance","Senior VP, Internal Communications ",164086,78136,USA,New York,21 - 30 years,11 - 20 years,Master's degree,Woman,White
Education (Higher Education),Assistant Professor,42974,8594,USA,Fairfax,5-7 years,5-7 years,Master's degree,Man,"Hispanic, Latino, or Spanish origin, White"
Nonprofits,Minister of music and worship,32426,390,USA,Durham,2 - 4 years,2 - 4 years,Master's degree,Woman,White
Nonprofits,Campaigns and policy coordinator ,28500,0,UK,London,8 - 10 years,2 - 4 years,Master's degree,Woman,White
Nonprofits,Communications Specialist,29691,0,USA,Salt Lake City,2 - 4 years,1 year or less,Master's degree,Woman,White
Health care,RN,66415,0,USA,Philadelphia ,5-7 years,2 - 4 years,College degree,Woman,White
"Marketing, Advertising & PR",Marketing Strategy Manager,47663,3125,USA,"Needham, MA",11 - 20 years,5-7 years,Some college,Woman,White
Engineering or Manufacturing,Mechanical Engineer,85949,0,USA,Chapel Hill,11 - 20 years,11 - 20 years,Master's degree,Man,White
Education (Higher Education),Digital Preservation Officer,49225,0,USA,Mesa,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Health care,Group Therapist ,32035,0,USA,Harrisburg ,2 - 4 years,2 - 4 years,Master's degree,Woman,White
Engineering or Manufacturing,Development engineer,73204,12918,Germany,Munich ,2 - 4 years,2 - 4 years,PhD,Woman,White
"Marketing, Advertising & PR",Marketing Strategy Manager,47663,3125,USA,"Needham, MA",11 - 20 years,5-7 years,Some college,Woman,White
Computing or Tech,Senior staff software engineer,224251,781363,USA,Menlo Park,21 - 30 years,21 - 30 years,College degree,Man,White
Nonprofits,Development Officer,69541,0,USA,Long Island,11 - 20 years,8 - 10 years,College degree,Woman,White
Engineering or Manufacturing,Junior Mechanical Aerospace Engineer,40207,1020,Uganda,Toronto,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American
Computing or Tech,Senior Security Engineer,156272,0,USA,Portland,8 - 10 years,8 - 10 years,College degree,Man,White
Computing or Tech,Quality Assurance Engineer/Scrum Master,44537,1562,USA,Los Angeles,8 - 10 years,5-7 years,College degree,Woman,White
Government and Public Administration,Computer System Administrator,113297,0,USA,Chicago,21 - 30 years,21 - 30 years,Master's degree,Man,White
Computing or Tech,Product Owner,81261,7813,USA,Denver,8 - 10 years,5-7 years,College degree,Woman,White
Engineering or Manufacturing,Senior Process Engineer,58602,3906,USA,Harrodsburg,5-7 years,5-7 years,College degree,Woman,Asian or Asian American
Engineering or Manufacturing,Optical development engineer,55979,3014,Germany,Frankfurt,5-7 years,2 - 4 years,PhD,Woman,White
Health care,Associate Director ,136738,26566,USA,Bridgewater ,31 - 40 years,11 - 20 years,Master's degree,Woman,Black or African American
Computing or Tech,Director of Engineering,156272,0,USA,"Washington, D.C.",11 - 20 years,11 - 20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
Insurance,Director of Operations,71104,1172,USA,Boise,11 - 20 years,8 - 10 years,College degree,Woman,White
Computing or Tech,Software Engineer,72666,0,USA,Boulder,2 - 4 years,2 - 4 years,College degree,Woman,White
Education (Higher Education),Student Support Specialist (Academic Advisor),34926,0,USA,Chicago,11 - 20 years,5-7 years,Master's degree,Woman,Black or African American
Hospitality & Events,Director of Human Resources,70322,7813,USA,Denver,11 - 20 years,8 - 10 years,College degree,Woman,White
Education (Higher Education),Graduate Research Assistant,23440,0,USA,Madison,2 - 4 years,2 - 4 years,Master's degree,Woman,White
Computing or Tech,Product Marketing Manager,66415,1562,USA,Portland,11 - 20 years,8 - 10 years,Master's degree,Man,White
Health care,physics technologist,56411,0,Uganda,Ottawa,31 - 40 years,21 - 30 years,College degree,Woman,White
Computing or Tech,Staff Product Manager,121892,227376,USA,Denver,11 - 20 years,8 - 10 years,College degree,Man,White
Education (Higher Education),Associate Marketing Director,46881,0,USA,Worcester,5-7 years,5-7 years,College degree,Woman,White
Business or Consulting,Senior Developer,72000,11000,UK,Swansea,21 - 30 years,21 - 30 years,Master's degree,Man,"Asian or Asian American, White"
Education (Higher Education),Administrative Support Specialist,37505,0,USA,Chapel Hill,11 - 20 years,8 - 10 years,Master's degree,Woman,White
Computing or Tech,DevOps Architect,81420,9376,USA,Jacksonville,21 - 30 years,11 - 20 years,College degree,Man,White
Education (Higher Education),Digital Preservation Librarian,55554,0,USA,Richmond,11 - 20 years,8 - 10 years,Master's degree,Woman,White
Computing or Tech,Software Engineer,112516,7813,USA,Memphis,5-7 years,5-7 years,College degree,Woman,White
Government and Public Administration,Senior Communication Specialist,58602,0,USA,Hillsboro,11 - 20 years,11 - 20 years,College degree,Woman,White
Recruitment or HR,Account Manager,51960,0,USA,New York,5-7 years,1 year or less,College degree,Woman,White
"Accounting, Banking & Finance",Product Owner,180000,30000,UK,London,21 - 30 years,11 - 20 years,College degree,Man,White
"Marketing, Advertising & PR",Product Marketer,50788,5860,USA,Hoffman Estates,5-7 years,2 - 4 years,College degree,Woman,Asian or Asian American
Engineering or Manufacturing,Staff Engineer,68108,0,USA,Greensboro,11 - 20 years,8 - 10 years,College degree,Woman,White
Computing or Tech,Software Dev,49225,0,USA,Jacksonville,21 - 30 years,2 - 4 years,College degree,Man,White
Health care,Medical Intern,47038,0,USA,Rochester,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Asian or Asian American
Government and Public Administration,Executive Assistant to Agency Head,65634,0,USA,Washington ,8 - 10 years,5-7 years,College degree,Woman,White
Retail,Executive Assistant - SVP,66415,5469,USA,New York,11 - 20 years,11 - 20 years,College degree,Woman,White
Business or Consulting,Further Education Funding and Data Consultant,66000,0,England,Various,21 - 30 years,11 - 20 years,College degree,Woman,White
Health care,Accessibility lead,114860,4688,USA,Madison,11 - 20 years,11 - 20 years,College degree,Man,White
Engineering or Manufacturing,Senior Software Engineer,144552,7813,USA,Boston,21 - 30 years,21 - 30 years,Master's degree,Man,Middle Eastern or Northern African
Health care,"Medical Lab Technician, ASCP",41412,3906,USA,Silverdale,5-7 years,2 - 4 years,College degree,Woman,White
Computing or Tech,Engineering Manager,110953,11720,USA,Las Vegas,8 - 10 years,8 - 10 years,College degree,Man,White
Transport or Logistics,Director - IT Strategy,77354,101577,USA,Seattle,11 - 20 years,2 - 4 years,Master's degree,Woman,White
Computing or Tech,Operations Manager,58086,5808,USA,Madison,11 - 20 years,5-7 years,College degree,Man,White
Education (Higher Education),Assistant Director of Development,49225,0,USA,Atlanta,5-7 years,2 - 4 years,College degree,Woman,White
Computing or Tech,Senior Site Reliability Engineer,79491,17224,Ireland,Dublin,2 - 4 years,2 - 4 years,College degree,Man,White
"Marketing, Advertising & PR",Content Editor,85949,7813,USA,New York,11 - 20 years,11 - 20 years,College degree,Woman,Asian or Asian American
"Accounting, Banking & Finance",Accounting Analyst,36724,0,USA,Wichita,5-7 years,2 - 4 years,College degree,Woman,Black or African American
"Marketing, Advertising & PR",Unemployed ,0,0,USA,Portland,21 - 30 years,5-7 years,Master's degree,Man,White
Computing or Tech,Data Architect,148458,78136,USA,San Luis Obispo,11 - 20 years,8 - 10 years,College degree,Man,White
"Accounting, Banking & Finance",Assistant to the CEO/Office Manager,50000,1500,UK,London,8 - 10 years,8 - 10 years,Master's degree,Woman,White
Computing or Tech,Junior Developer,33598,1172,USA,Lincoln,11 - 20 years,2 - 4 years,College degree,Man,White
Engineering or Manufacturing,Engineer,76182,2344,USA,Waltham,2 - 4 years,2 - 4 years,College degree,Man,White
"Marketing, Advertising & PR",Strategist,37505,2344,USA,Atlanta,5-7 years,5-7 years,College degree,Woman,White
Engineering or Manufacturing,Account Manager ,19012,0,South Africa,Pietermaritzburg ,11 - 20 years,2 - 4 years,College degree,Woman,White
Sales,Sales engineer ,74229,0,USA,New York Buty,11 - 20 years,5-7 years,Master's degree,Woman,White
Art & Design,Design Assistant,37380,0,USA,Leawood,2 - 4 years,2 - 4 years,College degree,Woman,White
Education (Higher Education),Clinical Assistant Professor,51569,0,USA,Carrollton,11 - 20 years,2 - 4 years,Master's degree,Woman,White
Computing or Tech,Security Consultant,125000,0,UK,London,11 - 20 years,11 - 20 years,College degree,Man,White
Nonprofits,Programme Manager,38700,250,UK,London,5-7 years,5-7 years,Master's degree,Woman,White
Computing or Tech,Software engineer,106265,10626,USA,New York,2 - 4 years,2 - 4 years,College degree,Man,Black or African American
Media & Digital,Senior Software Engineer,126580,12501,USA,NYC,21 - 30 years,11 - 20 years,Some college,Man,White
Computing or Tech,Head of Platform,126873,12687,Switzerland,Zürich,11 - 20 years,11 - 20 years,College degree,Man,White
Computing or Tech,Principal Software Engineer,156272,14064,USA,Portland,11 - 20 years,11 - 20 years,College degree,Man,White
Computing or Tech,MSP Engineer II,42974,0,USA,Columbus,21 - 30 years,11 - 20 years,Some college,Man,White
Art & Design,Architect,62509,14064,USA,Atlanta,8 - 10 years,8 - 10 years,Master's degree,Woman,White
Computing or Tech,Software Development Engineer II,112559,0,USA,Seattle,5-7 years,2 - 4 years,College degree,Woman,White
Health care,Billing specialist,24065,0,USA,Springfield,11 - 20 years,8 - 10 years,College degree,Woman,White
"Marketing, Advertising & PR",Marketing Strategy Manager,47663,3125,USA,"Needham, MA",11 - 20 years,5-7 years,Some college,Woman,White
"Accounting, Banking & Finance",HR Manager,68759,0,USA,Cincinnati,8 - 10 years,11 - 20 years,College degree,Woman,White
Law,Attorney,80089,7813,USA,Baltimore,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Asian or Asian American
Engineering or Manufacturing,Associate Technical Staff,97670,0,USA,Lexington,2 - 4 years,2 - 4 years,Master's degree,Non-binary,Asian or Asian American
Law,Summer Associate,40630,0,USA,Rogers,1 year or less,1 year or less,College degree,Woman,White
Government and Public Administration,Analyst,98451,0,USA,Arlington,21 - 30 years,11 - 20 years,Master's degree,Woman,White
Transport or Logistics,Office Manager,53132,0,USA,Greensboro,8 - 10 years,31 - 40 years,Some college,Woman,White
Utilities & Telecommunications,Senior Marketing Manager,72432,10939,USA,Bethlehem,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Hospitality & Events,General Manager,78917,1562,USA,Portland,11 - 20 years,11 - 20 years,High School,Man,"Hispanic, Latino, or Spanish origin"
Law,Legal Assistant,48444,1172,Uganda,Toronto,2 - 4 years,2 - 4 years,College degree,Woman,White
Computing or Tech,"Manager, Technical Writing",105484,0,USA,Palo Alto,21 - 30 years,21 - 30 years,College degree,Man,White
Engineering or Manufacturing,Director of Human Resources ,78917,7813,USA,Minneapolis,11 - 20 years,11 - 20 years,Some college,Woman,White
Computing or Tech,Data Analyst,54695,2344,USA,McLean,8 - 10 years,2 - 4 years,College degree,Man,White
Business or Consulting,Account Care Representative ,29254,0,USA,"Winchester, VA ",2 - 4 years,1 year or less,College degree,Non-binary,"Asian or Asian American, White"
Education (Primary/Secondary),Teacher ,32399,0,USA,Bradenton,5-7 years,5-7 years,College degree,Woman,White
Law,Legal Assistant,50000,1000,UK,London,31 - 40 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Woman,White
Engineering or Manufacturing,Senior Business Development Manager,113297,28324,USA,Milwaukee,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Law,Associate,210968,0,USA,"Washington, DC",5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,"Asian or Asian American, White"
"Marketing, Advertising & PR",Junior Media Buyer,45319,781,USA,Greenwich,2 - 4 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
Business or Consulting,Director of Human Resources ,84387,15627,USA,Austin ,21 - 30 years,11 - 20 years,Master's degree,Woman,White
Education (Primary/Secondary),Senior Data Manager,57820,0,USA,New Orleans,8 - 10 years,5-7 years,Master's degree,Woman,White
Sales,Sales executive ,101577,64853,USA,Chicago,11 - 20 years,8 - 10 years,College degree,Woman,White
Retail,Retail Communications Lead,32000,0,England,Sheffield,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
Government and Public Administration,Analyst,105484,1562,USA,Washington,11 - 20 years,11 - 20 years,Master's degree,Man,White
Computing or Tech,Software development engineer,117204,0,USA,Seattle,5-7 years,5-7 years,College degree,Woman,White
"Marketing, Advertising & PR",PR Manager (Account Supervisor),85949,0,USA,San Jose,11 - 20 years,11 - 20 years,College degree,Woman,White
Computing or Tech,Web Designer,40630,0,USA,Huntsville,2 - 4 years,2 - 4 years,College degree,Woman,"Asian or Asian American, White"
Engineering or Manufacturing,Sr Mechanical Engineer,78136,0,USA,Boston,8 - 10 years,8 - 10 years,College degree,Woman,White
Computing or Tech,"Quality Manager, Testing Captain, Team Lead",78917,1562,USA,Verona,8 - 10 years,5-7 years,College degree,Woman,White
Retail,Visitor Services Assistant Manager,21000,0,UK,Norwich,5-7 years,5-7 years,Master's degree,Woman,White
Health care,Assistant Nurse Manager,53632,1562,USA,St Louis,11 - 20 years,11 - 20 years,College degree,Woman,White
Computing or Tech,Software Engineer,88294,17189,USA,Houston,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American
Government and Public Administration,Contact Tracing Lead Investigator ,48757,0,USA,Indianapolis ,11 - 20 years,1 year or less,College degree,Woman,White
"Marketing, Advertising & PR",Marketing Strategy Manager,47663,3125,USA,"Needham, MA",11 - 20 years,5-7 years,Some college,Woman,White
"Marketing, Advertising & PR",Marketing Strategy Manager,47663,3125,USA,"Needham, MA",11 - 20 years,5-7 years,Some college,Woman,White
Health care,registered nurse,47640,0,USA,Harrisburg,2 - 4 years,2 - 4 years,College degree,Woman,White
Education (Primary/Secondary),Substitute Teacher,30066,0,USA,Phoenix,8 - 10 years,8 - 10 years,College degree,Man,White
Retail,E-commerce Assistant,19760,0,UK,Perth,2 - 4 years,2 - 4 years,College degree,Woman,White
Government and Public Administration,Budget Analyst,81019,0,USA,Washington,11 - 20 years,5-7 years,Master's degree,Man,Black or African American
Computing or Tech,Software Developer,183620,7813,USA,Verona,11 - 20 years,11 - 20 years,College degree,Man,White
Nonprofits,State Field Director ,50788,281,USA,Pittsburgh ,8 - 10 years,5-7 years,Master's degree,Woman,"Asian or Asian American, White"
Nonprofits,Senior Engineer,82824,0,USA,Milwaukee,11 - 20 years,8 - 10 years,College degree,Man,White
Computing or Tech,Customer Success Manager - Implementation Manager and Technical Support,50788,3125,USA,Portland,21 - 30 years,8 - 10 years,College degree,Non-binary,Asian or Asian American
Computing or Tech,Software Quality Assurance and Release Manager,63290,0,USA,Portland,8 - 10 years,5-7 years,College degree,Woman,White
Computing or Tech,software engineer,87512,12501,USA,portland,31 - 40 years,31 - 40 years,Master's degree,Woman,White
Sales,Sales Analyst,42974,0,USA,Denver,2 - 4 years,2 - 4 years,College degree,Woman,White
Computing or Tech,Software Engineer,58602,0,USA,Reston,5-7 years,2 - 4 years,College degree,Non-binary,White
Law,Attorney,171899,11720,USA,Cleveland,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
Computing or Tech,Data Scientist,128924,0,USA,San Jose,2 - 4 years,2 - 4 years,PhD,Man,White
Computing or Tech,Application Developer,73448,0,USA,St. Paul,8 - 10 years,8 - 10 years,College degree,Man,White
Retail,Sr. IT Manager,80089,7813,USA,Boulder,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Computing or Tech,Senior Software Engineer,97670,0,USA,Portland,11 - 20 years,8 - 10 years,College degree,Woman,White
Education (Higher Education),"Director of Finance & Operations, Faculty Member",38767,0,Uganda,Edmonton,11 - 20 years,8 - 10 years,Master's degree,Woman,White
Computing or Tech,Software engineer,133613,0,USA,Oakland,5-7 years,5-7 years,College degree,Man,White
"Accounting, Banking & Finance",Product Manager,30473,1562,USA,Melbourne,11 - 20 years,5-7 years,College degree,Woman,White
"Marketing, Advertising & PR",Digital Marketing Manager,25784,0,USA,Athens,5-7 years,2 - 4 years,College degree,Man,White
"Marketing, Advertising & PR",Sales & Marketing Manager,35161,390,USA,Carson City,5-7 years,8 - 10 years,College degree,Woman,White
Recruitment or HR,HR Manager,76573,3906,USA,Portland,11 - 20 years,11 - 20 years,College degree,Woman,White
Computing or Tech,Software Development Engineer,105484,0,USA,Portland,21 - 30 years,5-7 years,College degree,Man,White
"Marketing, Advertising & PR",media finance analyst,39068,781,USA,los angeles,2 - 4 years,2 - 4 years,College degree,Woman,"Middle Eastern or Northern African, White"
Computing or Tech,Senior Manager Customer Support,72014,0,Uganda,"Waterloo, ON, Canada",11 - 20 years,11 - 20 years,College degree,Man,White
Nonprofits,Director of Finance & Operations,97705,0,USA,Chicago,41 years or more,31 - 40 years,Master's degree,Woman,White
Transport or Logistics,Executive Assistant to Functional Directors,30300,0,UK,Cardiff,21 - 30 years,5-7 years,Master's degree,Woman,White
Education (Higher Education),Assistant Director of Communications,51450,0,USA,New York City,5-7 years,5-7 years,Master's degree,Woman,White
